price,mileage,my_car
1500,193000,no
3999,172028,no
4995,77527,no
1996,208590,no
3999,137251,no
1996,208590,no
4295,199402,no
1495,134000,no
2695,114150,no
3799,137414,no
3499,191552,no
2695,203000,no
1895,238042,no
1996,208590,no
4295,199402,no
3295,204628,no
1495,134000,no
6500,88321,no
4500,150746,no
2695,114150,no
3500,151663,no
2900,165000,no
3450,204000,no
1000,198000,no
2600,186700,no
1500,175734,no
6995,139572,no
2600,165452,no
2300,197000,no
2700,185388,no
3400,196000,no
2800,200000,no
3800,176334,no
3495,219686,no
4995,77527,no
3999,135586,no
3950,108060,no
4390,125558,no
3900,152017,no
5595,155001,no
2500,82000,yes
